Symbol,Security,GICSSector,GICS Sub-Industry,Headquarters Location,Founded
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",1916
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2013 (1888)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1982
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",1969
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1955
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2008
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1908
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",1917
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",1998
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1985
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1994
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019 (1860)
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1906
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1850
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",1919
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",1995
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1980
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
AON,Aon,Financials,Insurance Brokers,"London, UK",1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
